城址名,市区町村名,緯度,経度,築城年,廃城年,
忍城,行田市,36.1391,139.4556,1500,1871,
川越城,川越市,35.9219,139.4850,1457,1869,
鉢形城,寄居町,36.1175,139.1842,不明,不明,
杉山城,嵐山町,36.0328,139.3089,1520,1550,
菅谷館,嵐山町,36.0322,139.3086,1192,不明,
岩槻城,さいたま市岩槻区,35.9517,139.7106,不明,不明,
騎西城,加須市,36.1328,139.5783,1455,不明,
滝の城,所沢市,35.8055,139.5344,1221,1590,
花園城,寄居町,36.1183,139.2511,1159,1590,
小倉城,ときがわ町,36.0025,139.2656,1569,不明,
松山城,東松山市,36.0419,139.4011,不明,1601,
杉戸城,杉戸町,36.0464,139.7375,不明,1600,
久喜陣屋,久喜市,36.0714,139.6794,1684,1798,
越生城,越生町,35.9628,139.2944,1192,不明,
